points,hand_card_1,hand_card_2,hand_card_3,hand_card_4,cut_card
2,TS,KS,AD,3D,TC
0,TS,KS,AD,3D,JC
0,TS,KS,AD,3D,QC
2,TS,KS,AD,3D,KC
6,TS,KS,AD,3D,AC
6,TS,KS,JS,3D,2H
2,TS,KS,JS,3D,3H
0,TS,KS,JS,3D,4H
6,TS,KS,JS,3D,5H
0,TS,KS,JS,3D,6H
0,TS,KS,JS,3D,7H
0,TS,KS,JS,3D,8H
3,TS,KS,JS,3D,9H
2,TS,KS,JS,3D,TH
2,TS,KS,JS,3D,JH
4,TS,KS,JS,3D,QH
2,TS,KS,JS,3D,KH
0,TS,KS,JS,3D,AH
6,TS,KS,JS,3D,2D
0,TS,KS,JS,3D,4D
6,TS,KS,JS,3D,5D
0,TS,KS,JS,3D,6D
0,TS,KS,JS,3D,7D
0,TS,KS,JS,3D,8D
3,TS,KS,JS,3D,9D
2,TS,KS,JS,3D,TD
2,TS,KS,JS,3D,JD
4,TS,KS,JS,3D,QD
2,TS,KS,JS,3D,KD
7,TS,KS,JS,3D,2S
3,TS,KS,JS,3D,3S
1,TS,KS,JS,3D,4S
7,TS,KS,JS,3D,5S
1,TS,KS,JS,3D,6S
1,TS,KS,JS,3D,7S
1,TS,KS,JS,3D,8S
4,TS,KS,JS,3D,9S
1,TS,KS,JS,3D,AS
6,TS,KS,JS,3D,2C
2,TS,KS,JS,3D,3C
0,TS,KS,JS,3D,4C
6,TS,KS,JS,3D,5C
0,TS,KS,JS,3D,6C
0,TS,KS,JS,3D,7C
0,TS,KS,JS,3D,8C
3,TS,KS,JS,3D,9C
2,TS,KS,JS,3D,TC
2,TS,KS,JS,3D,JC
4,TS,KS,JS,3D,QC
2,TS,KS,JS,3D,KC
0,TS,KS,JS,3D,AC
7,TS,AD,JS,3D,2H
2,TS,AD,JS,3D,3H
4,TS,AD,JS,3D,4H
4,TS,AD,JS,3D,5H
0,TS,AD,JS,3D,6H
0,TS,AD,JS,3D,7H
0,TS,AD,JS,3D,8H
3,TS,AD,JS,3D,9H
2,TS,AD,JS,3D,TH
2,TS,AD,JS,3D,JH
3,TS,AD,JS,3D,QH
0,TS,AD,JS,3D,KH
6,TS,AD,JS,3D,AH
7,TS,AD,JS,3D,2D
4,TS,AD,JS,3D,4D
4,TS,AD,JS,3D,5D
0,TS,AD,JS,3D,6D
0,TS,AD,JS,3D,7D
0,TS,AD,JS,3D,8D
3,TS,AD,JS,3D,9D
2,TS,AD,JS,3D,TD
2,TS,AD,JS,3D,JD
3,TS,AD,JS,3D,QD
0,TS,AD,JS,3D,KD
8,TS,AD,JS,3D,2S
3,TS,AD,JS,3D,3S
5,TS,AD,JS,3D,4S
5,TS,AD,JS,3D,5S
1,TS,AD,JS,3D,6S
1,TS,AD,JS,3D,7S
1,TS,AD,JS,3D,8S
4,TS,AD,JS,3D,9S
7,TS,AD,JS,3D,AS
7,TS,AD,JS,3D,2C
2,TS,AD,JS,3D,3C
4,TS,AD,JS,3D,4C
4,TS,AD,JS,3D,5C
0,TS,AD,JS,3D,6C
0,TS,AD,JS,3D,7C
0,TS,AD,JS,3D,8C
3,TS,AD,JS,3D,9C
2,TS,AD,JS,3D,TC
2,TS,AD,JS,3D,JC
3,TS,AD,JS,3D,QC
0,TS,AD,JS,3D,KC
6,TS,AD,JS,3D,AC
3,QS,KS,AD,JS,2H
3,QS,KS,AD,JS,3H
9,QS,KS,AD,JS,4H
9,QS,KS,AD,JS,5H
3,QS,KS,AD,JS,6H
3,QS,KS,AD,JS,7H
3,QS,KS,AD,JS,8H
3,QS,KS,AD,JS,9H
4,QS,KS,AD,JS,TH
8,QS,KS,AD,JS,JH
8,QS,KS,AD,JS,QH
8,QS,KS,AD,JS,KH
5,QS,KS,AD,JS,AH
3,QS,KS,AD,JS,2D
9,QS,KS,AD,JS,4D
9,QS,KS,AD,JS,5D
3,QS,KS,AD,JS,6D
3,QS,KS,AD,JS,7D
3,QS,KS,AD,JS,8D
3,QS,KS,AD,JS,9D
4,QS,KS,AD,JS,TD
8,QS,KS,AD,JS,JD
8,QS,KS,AD,JS,QD
8,QS,KS,AD,JS,KD
4,QS,KS,AD,JS,2S
4,QS,KS,AD,JS,3S
10,QS,KS,AD,JS,4S
10,QS,KS,AD,JS,5S
4,QS,KS,AD,JS,6S
4,QS,KS,AD,JS,7S
4,QS,KS,AD,JS,8S
4,QS,KS,AD,JS,9S
6,QS,KS,AD,JS,AS
3,QS,KS,AD,JS,2C
3,QS,KS,AD,JS,3C
9,QS,KS,AD,JS,4C
9,QS,KS,AD,JS,5C
3,QS,KS,AD,JS,6C
3,QS,KS,AD,JS,7C
3,QS,KS,AD,JS,8C
3,QS,KS,AD,JS,9C
4,QS,KS,AD,JS,TC
8,QS,KS,AD,JS,JC
8,QS,KS,AD,JS,QC
8,QS,KS,AD,JS,KC
5,QS,KS,AD,JS,AC
7,QS,KS,AD,3D,2H
2,QS,KS,AD,3D,3H
4,QS,KS,AD,3D,4H
4,QS,KS,AD,3D,5H
0,QS,KS,AD,3D,6H
0,QS,KS,AD,3D,7H
0,QS,KS,AD,3D,8H
0,QS,KS,AD,3D,9H
0,QS,KS,AD,3D,TH
3,QS,KS,AD,3D,JH
2,QS,KS,AD,3D,QH
2,QS,KS,AD,3D,KH
6,QS,KS,AD,3D,AH
7,QS,KS,AD,3D,2D
4,QS,KS,AD,3D,4D
4,QS,KS,AD,3D,5D
0,QS,KS,AD,3D,6D
0,QS,KS,AD,3D,7D
0,QS,KS,AD,3D,8D
0,QS,KS,AD,3D,9D
0,QS,KS,AD,3D,TD
3,QS,KS,AD,3D,JD
2,QS,KS,AD,3D,QD
2,QS,KS,AD,3D,KD
7,QS,KS,AD,3D,2S
2,QS,KS,AD,3D,3S
4,QS,KS,AD,3D,4S
4,QS,KS,AD,3D,5S
0,QS,KS,AD,3D,6S
0,QS,KS,AD,3D,7S
0,QS,KS,AD,3D,8S
0,QS,KS,AD,3D,9S
6,QS,KS,AD,3D,AS
7,QS,KS,AD,3D,2C
2,QS,KS,AD,3D,3C
4,QS,KS,AD,3D,4C
4,QS,KS,AD,3D,5C
0,QS,KS,AD,3D,6C
0,QS,KS,AD,3D,7C
0,QS,KS,AD,3D,8C
0,QS,KS,AD,3D,9C
0,QS,KS,AD,3D,TC
3,QS,KS,AD,3D,JC
2,QS,KS,AD,3D,QC
2,QS,KS,AD,3D,KC
6,QS,KS,AD,3D,AC
9,QS,KS,JS,3D,2H
5,QS,KS,JS,3D,3H
3,QS,KS,JS,3D,4H
9,QS,KS,JS,3D,5H
3,QS,KS,JS,3D,6H
3,QS,KS,JS,3D,7H
3,QS,KS,JS,3D,8H
3,QS,KS,JS,3D,9H
4,QS,KS,JS,3D,TH
8,QS,KS,JS,3D,JH
8,QS,KS,JS,3D,QH
8,QS,KS,JS,3D,KH
3,QS,KS,JS,3D,AH
9,QS,KS,JS,3D,2D
3,QS,KS,JS,3D,4D
9,QS,KS,JS,3D,5D
3,QS,KS,JS,3D,6D
3,QS,KS,JS,3D,7D
3,QS,KS,JS,3D,8D
3,QS,KS,JS,3D,9D
4,QS,KS,JS,3D,TD
8,QS,KS,JS,3D,JD
8,QS,KS,JS,3D,QD
8,QS,KS,JS,3D,KD
10,QS,KS,JS,3D,2S
6,QS,KS,JS,3D,3S
4,QS,KS,JS,3D,4S
10,QS,KS,JS,3D,5S
4,QS,KS,JS,3D,6S
4,QS,KS,JS,3D,7S
4,QS,KS,JS,3D,8S
4,QS,KS,JS,3D,9S
4,QS,KS,JS,3D,AS
9,QS,KS,JS,3D,2C
5,QS,KS,JS,3D,3C
3,QS,KS,JS,3D,4C
9,QS,KS,JS,3D,5C
3,QS,KS,JS,3D,6C
3,QS,KS,JS,3D,7C
3,QS,KS,JS,3D,8C
3,QS,KS,JS,3D,9C
4,QS,KS,JS,3D,TC
8,QS,KS,JS,3D,JC
8,QS,KS,JS,3D,QC
8,QS,KS,JS,3D,KC
3,QS,KS,JS,3D,AC
7,QS,AD,JS,3D,2H
2,QS,AD,JS,3D,3H
4,QS,AD,JS,3D,4H
4,QS,AD,JS,3D,5H
0,QS,AD,JS,3D,6H
0,QS,AD,JS,3D,7H
0,QS,AD,JS,3D,8H
0,QS,AD,JS,3D,9H
3,QS,AD,JS,3D,TH
2,QS,AD,JS,3D,JH
2,QS,AD,JS,3D,QH
3,QS,AD,JS,3D,KH
6,QS,AD,JS,3D,AH
7,QS,AD,JS,3D,2D
4,QS,AD,JS,3D,4D
4,QS,AD,JS,3D,5D
0,QS,AD,JS,3D,6D
0,QS,AD,JS,3D,7D
0,QS,AD,JS,3D,8D
0,QS,AD,JS,3D,9D
3,QS,AD,JS,3D,TD
2,QS,AD,JS,3D,JD
2,QS,AD,JS,3D,QD
3,QS,AD,JS,3D,KD
8,QS,AD,JS,3D,2S
3,QS,AD,JS,3D,3S
5,QS,AD,JS,3D,4S
5,QS,AD,JS,3D,5S
1,QS,AD,JS,3D,6S
1,QS,AD,JS,3D,7S
1,QS,AD,JS,3D,8S
1,QS,AD,JS,3D,9S
7,QS,AD,JS,3D,AS
7,QS,AD,JS,3D,2C
2,QS,AD,JS,3D,3C
4,QS,AD,JS,3D,4C
4,QS,AD,JS,3D,5C
0,QS,AD,JS,3D,6C
0,QS,AD,JS,3D,7C
0,QS,AD,JS,3D,8C
0,QS,AD,JS,3D,9C
3,QS,AD,JS,3D,TC
2,QS,AD,JS,3D,JC
2,QS,AD,JS,3D,QC
3,QS,AD,JS,3D,KC
6,QS,AD,JS,3D,AC
7,KS,AD,JS,3D,2H
2,KS,AD,JS,3D,3H
4,KS,AD,JS,3D,4H
4,KS,AD,JS,3D,5H
0,KS,AD,JS,3D,6H
0,KS,AD,JS,3D,7H
0,KS,AD,JS,3D,8H
0,KS,AD,JS,3D,9H
0,KS,AD,JS,3D,TH
2,KS,AD,JS,3D,JH
3,KS,AD,JS,3D,QH
2,KS,AD,JS,3D,KH
6,KS,AD,JS,3D,AH
7,KS,AD,JS,3D,2D
4,KS,AD,JS,3D,4D
4,KS,AD,JS,3D,5D
0,KS,AD,JS,3D,6D
0,KS,AD,JS,3D,7D
