,dealt_hand,max_hand,max_hand_ev_points,max_hand_max_points,max_hand_median_points,max_hand_stdev_points,median_hand,median_hand_ev_points,median_hand_max_points,median_hand_median_points,median_hand_stdev_points,ev_hand,ev_hand_ev_points,ev_hand_max_points,ev_hand_median_points,ev_hand_stdev_points,max_v_median_diff,max_v_ev_diff,median_v_ev_diff
67,"2H,3H,4H,5H,7H,2S","2H,3H,4H,2S",12.347826086956522,18,12.0,2.152181232603568,"2H,3H,4H,5H",12.478260869565217,16,12.0,2.373362644339439,"2H,3H,4H,5H",12.478260869565217,16,12.0,2.373362644339439,-0.13043478260869534,-0.13043478260869534,0.0
68,"2H,3H,4H,5H,7H,3S","3H,4H,5H,3S",13.73913043478261,21,12.0,3.2210059340294825,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,"3H,4H,5H,3S",13.73913043478261,21,12.0,3.2210059340294825,1.304347826086957,0.0,-1.304347826086957
69,"2H,3H,4H,5H,7H,4S","3H,4H,5H,4S",11.782608695652174,20,10.0,3.3193911321088247,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,-0.6521739130434785,-0.6521739130434785,0.0
70,"2H,3H,4H,5H,7H,5S","3H,4H,5H,5S",12.478260869565217,20,12.0,2.9494943478861866,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,"3H,4H,5H,5S",12.478260869565217,20,12.0,2.9494943478861866,0.04347826086956452,0.0,-0.04347826086956452
71,"2H,3H,4H,5H,7H,6S","3H,4H,5H,7H",11.956521739130435,18,12.0,3.147884804747682,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,-0.5434782608695645,-0.5434782608695645,0.0
72,"2H,3H,4H,5H,7H,7S","3H,4H,5H,7H",11.956521739130435,18,12.0,3.147884804747682,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,-0.6086956521739122,-0.6086956521739122,0.0
73,"2H,3H,4H,5H,7H,8S","3H,4H,5H,7H",11.956521739130435,18,12.0,3.147884804747682,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5652173913043477,-0.5652173913043477,0.0
74,"2H,3H,4H,5H,7H,9S","3H,4H,5H,7H",12.043478260869565,18,12.0,3.1195193485829793,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,-0.5217391304347831,-0.5217391304347831,0.0
75,"2H,3H,4H,5H,7H,TS","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
76,"2H,3H,4H,5H,7H,JS","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
